Date,Chandler,Flagstaff,Phoenix,Tucson
2015-07-02 11:00,97,75,98,90
2015-07-02 12:00,99,78,101,93
2015-07-02 13:00,99,78,101,94
2015-07-02 14:00,100,82,104,96
2015-07-02 15:00,102,80,105,98
2015-07-02 16:00,104,80,105,98
2015-07-02 17:00,104,73,105,97
2015-07-02 18:00,104,73,105,97
2015-07-02 19:00,102,65,103,95
2015-07-02 20:00,100,64,102,93
2015-07-02 21:00,97,65,100,92
2015-07-02 22:00,97,66,99,91
2015-07-02 23:00,97,67,99,89
2015-07-03 00:00,97,65,97,87
2015-07-03 01:00,97,61,96,88
2015-07-03 02:00,97,62,95,86
2015-07-03 03:00,97,66,93,84
2015-07-03 04:00,97,66,93,84
2015-07-03 05:00,97,59,89,82
2015-07-03 06:00,79,61,83,80
2015-07-03 07:00,77,63,83,79
2015-07-03 08:00,81,66,84,83
2015-07-03 09:00,81,67,86,86
2015-07-03 10:00,84,71,89,87
2015-07-03 11:00,88,72,90,89
2015-07-03 12:00,91,75,93,92
2015-07-03 13:00,93,77,94,94
2015-07-03 14:00,95,78,95,96
2015-07-03 15:00,95,79,95,97
2015-07-03 16:00,95,82,97,98
2015-07-03 17:00,97,81,99,98
2015-07-03 18:00,97,81,99,98
2015-07-03 19:00,99,69,99,97
2015-07-03 20:00,93,64,97,94
2015-07-03 21:00,93,60,97,92
2015-07-03 22:00,93,59,96,92
2015-07-03 23:00,93,59,91,90
2015-07-04 00:00,93,58,89,87
2015-07-04 01:00,93,58,88,86
2015-07-04 02:00,93,58,88,86
2015-07-04 03:00,93,58,86,81
2015-07-04 04:00,93,58,87,80
2015-07-04 05:00,93,58,86,81
2015-07-04 06:00,81,57,85,82
2015-07-04 07:00,86,58,88,83
2015-07-04 08:00,88,61,91,85
2015-07-04 09:00,91,67,95,85
2015-07-04 10:00,95,70,96,85
2015-07-04 11:00,95,72,98,87
2015-07-04 12:00,93,73,99,88
2015-07-04 13:00,97,75,102,89
2015-07-04 14:00,102,75,104,89
2015-07-04 15:00,102,74,104,91
2015-07-04 16:00,104,67,104,92
2015-07-04 17:00,104,69,105,91
2015-07-04 18:00,102,59,104,91
2015-07-04 19:00,102,61,102,90
2015-07-04 20:00,100,60,101,89
2015-07-04 21:00,99,59,100,88
2015-07-04 22:00,99,58,98,87
2015-07-04 23:00,99,58,98,82
2015-07-05 00:00,99,57,96,83
2015-07-05 01:00,99,56,95,83
2015-07-05 02:01,99,57,93,82
2015-07-05 03:00,99,58,93,82
2015-07-05 04:00,99,57,91,82
2015-07-05 05:00,99,58,90,81
2015-07-05 06:00,88,57,89,81
2015-07-05 07:00,88,59,89,81
2015-07-05 08:00,90,62,89,82
2015-07-05 09:00,93,68,92,82
2015-07-05 10:00,95,72,96,82
2015-07-05 11:00,97,74,97,82
2015-07-05 12:00,99,72,99,85
2015-07-05 13:00,99,60,100,87
2015-07-05 14:00,99,61,101,88
2015-07-05 15:00,90,58,100,73
2015-07-05 16:00,82,70,93,76
2015-07-05 17:00,86,69,92,75
2015-07-05 18:00,86,69,92,75
2015-07-05 19:00,82,65,89,77
2015-07-05 20:00,82,63,85,77
2015-07-05 21:00,82,59,85,77
